id,brand,base_model,model_mode,year,condition,mileage_km,has_aftermarket_mods,body_type,seats,doors,drivetrain,origin,exterior_color,city,seller_name,post_date,website,price_vnd
2525,VinFast,VF3,VF3,2024.0,Used,3000.0,False,SUV,7.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Xám,Lê Hồng Phong Q10 TP HCM,Kiet Thi,2026-05-15,bonbanh.com,1250000000.0
2526,VinFast,VF3,VF3,2025.0,Used,8000.0,True,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đen,hòa bình Hòa Bình,Vũ Long Hưng,2026-05-15,bonbanh.com,390000000.0
2527,VinFast,Limo Green,Limo Green,2026.0,Used,0.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Nhập khẩu,Đen,Khu Chế Xuất Tân Thuận TP HCM,Mercedes Benz Phú Mỹ Hưng - Used Car,2026-05-15,bonbanh.com,2559000000.0
2528,VinFast,VF6,VF6,2026.0,Used,20000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Hồng,Hà Nội,Vũ Tuấn Anh,2026-05-15,bonbanh.com,215000000.0
2529,VinFast,VF e34,VF E34,2022.0,Used,47000.0,False,SUV,5.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Trắng,Hà Nội,My Car,2026-05-15,bonbanh.com,659000000.0
2530,VinFast,VF8,VF8 Eco,2023.0,Used,50000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Xám,Huyện Văn Giang Hưng Yên,Tran Quang Tuan,2026-05-15,bonbanh.com,730000000.0
2531,VinFast,Herio Green,Herio Green,2025.0,Used,17000.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Nhập khẩu,Trắng,Quận 7 TP HCM Xem gian hàng ⇨,Lê Hoàn,2026-05-15,bonbanh.com,3398000000.0
2532,VinFast,VF6,VF6,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,40 đỗ xuân hợp TP HCM,Dang Quang Thang,2026-05-14,bonbanh.com,644000000.0
2533,BYD,Seal,Seal,2024.0,New,10000.0,False,SUV,5.0,5.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Bạc,Hà Nội,Hyundai Đông Đô,2026-05-14,bonbanh.com,1110000000.0
2534,VinFast,VF5,VF5 2025 Plus,2025.0,New,61000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Hồng,Thủ Đức TP HCM,Minh Thành,2026-05-14,bonbanh.com,260000000.0
2535,VinFast,VF5,VF5 Plus,2024.0,Used,0.0,False,Sedan,5.0,5.0,4WD - Dẫn động 4 bánh,Nhập khẩu,Xám,Quận 10 TP HCM,Thạch Vũ,2026-05-14,bonbanh.com,870000000.0
2536,VinFast,Limo Green,LIMO GREEN,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Xám,Hà Nội,Phan Thị,2026-05-14,bonbanh.com,280000000.0
2537,VinFast,,,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Đỏ,Tp. Thủ Đức TP HCM,Vinfast Thủ Thiêm - Linh Xuân,2026-05-13,bonbanh.com,270000000.0
2538,VinFast,VF5,VF5 Plus,2024.0,New,100000.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Hồng,Tp. Thủ Đức TP HCM,Vinfast Thủ Thiêm - Linh Xuân,2026-05-13,bonbanh.com,270000000.0
2539,VinFast,Limo Green,LIMO GREEN,2026.0,New,0.0,False,SUV,5.0,5.0,AWD - 4 bánh toàn thời gian,Lắp ráp trong nước,Đen,Tp. Thủ Đức TP HCM,Vinfast Thủ Thiêm - Linh Xuân,2026-05-13,bonbanh.com,755000000.0
2540,VinFast,VF MPV,VF MPV 7,2026.0,New,0.0,False,SUV,7.0,5.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Tp. Thủ Đức TP HCM,Vinfast Thủ Thiêm - Linh Xuân,2026-05-13,bonbanh.com,645000000.0
2541,VinFast,VF5,VF5 Plus,2026.0,New,0.0,False,Hatchback,4.0,3.0,RFD - Dẫn động cầu sau,Lắp ráp trong nước,Trắng,Tp. Thủ Đức TP HCM,Vinfast Thủ Thiêm - Linh Xuân,2026-05-13,bonbanh.com,258000000.0
2542,VinFast,VF6,VF6,2026.0,New,0.0,False,MPV,2.0,3.0,FWD - Dẫn động cầu trước,Lắp ráp trong nước,Đỏ,Hà Nội,Hiền Phạm,2026-05-12,bonbanh.com,268000000.0
